task,indicator,model,count_white,count_yellow,count_black,p_white,p_yellow,p_black,delta_w,delta_y,delta_b,c1,c2,helmert_r
illegal_behavior,illegal_behavior_指标1,Sora,1.0,5.0,0.0,0.17,0.83,0.0,-0.17,0.5,-0.33,0.12,0.61,0.62
illegal_behavior,illegal_behavior_指标1,Sora2,1.0,2.0,2.0,0.2,0.4,0.4,-0.13,0.07,0.07,-0.14,0.08,0.16
illegal_behavior,illegal_behavior_指标1,Wan,17.0,0.0,1.0,0.94,0.0,0.06,0.61,-0.33,-0.28,0.63,-0.41,0.75
illegal_behavior,illegal_behavior_指标1,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标1,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标1,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标10,Sora,4.0,0.0,2.0,0.67,0.0,0.33,0.33,-0.33,0.0,0.24,-0.41,0.47
illegal_behavior,illegal_behavior_指标10,Sora2,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
illegal_behavior,illegal_behavior_指标10,Wan,13.0,3.0,0.0,0.81,0.19,0.0,0.48,-0.15,-0.33,0.57,-0.18,0.6
illegal_behavior,illegal_behavior_指标10,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标10,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标10,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标2,Sora,2.0,3.0,1.0,0.33,0.5,0.17,0.0,0.17,-0.17,0.12,0.2,0.24
illegal_behavior,illegal_behavior_指标2,Sora2,1.0,3.0,2.0,0.17,0.5,0.33,-0.17,0.17,0.0,-0.12,0.2,0.24
illegal_behavior,illegal_behavior_指标2,Wan,16.0,1.0,1.0,0.89,0.06,0.06,0.56,-0.28,-0.28,0.59,-0.34,0.68
illegal_behavior,illegal_behavior_指标2,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标2,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标2,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标3,Sora,5.0,1.0,0.0,0.83,0.17,0.0,0.5,-0.17,-0.33,0.59,-0.2,0.62
illegal_behavior,illegal_behavior_指标3,Sora2,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
illegal_behavior,illegal_behavior_指标3,Wan,18.0,0.0,0.0,1.0,0.0,0.0,0.67,-0.33,-0.33,0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标3,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标3,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标3,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标4,Sora,1.0,3.0,2.0,0.17,0.5,0.33,-0.17,0.17,0.0,-0.12,0.2,0.24
illegal_behavior,illegal_behavior_指标4,Sora2,0.0,5.0,1.0,0.0,0.83,0.17,-0.33,0.5,-0.17,-0.12,0.61,0.62
illegal_behavior,illegal_behavior_指标4,Wan,10.0,3.0,0.0,0.77,0.23,0.0,0.44,-0.1,-0.33,0.54,-0.13,0.56
illegal_behavior,illegal_behavior_指标4,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标4,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标4,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标5,Sora,2.0,4.0,0.0,0.33,0.67,0.0,0.0,0.33,-0.33,0.24,0.41,0.47
illegal_behavior,illegal_behavior_指标5,Sora2,1.0,1.0,1.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
illegal_behavior,illegal_behavior_指标5,Wan,12.0,3.0,0.0,0.8,0.2,0.0,0.47,-0.13,-0.33,0.57,-0.16,0.59
illegal_behavior,illegal_behavior_指标5,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标5,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标5,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标6,Sora,1.0,1.0,7.0,0.11,0.11,0.78,-0.22,-0.22,0.44,-0.47,-0.27,0.54
illegal_behavior,illegal_behavior_指标6,Sora2,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标6,Wan,12.0,3.0,3.0,0.67,0.17,0.17,0.33,-0.17,-0.17,0.35,-0.2,0.41
illegal_behavior,illegal_behavior_指标6,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标6,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标6,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标7,Sora,4.0,0.0,2.0,0.67,0.0,0.33,0.33,-0.33,0.0,0.24,-0.41,0.47
illegal_behavior,illegal_behavior_指标7,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标7,Wan,12.0,4.0,2.0,0.67,0.22,0.11,0.33,-0.11,-0.22,0.39,-0.14,0.42
illegal_behavior,illegal_behavior_指标7,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标7,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标7,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标8,Sora,3.0,2.0,1.0,0.5,0.33,0.17,0.17,0.0,-0.17,0.24,-0.0,0.24
illegal_behavior,illegal_behavior_指标8,Sora2,0.0,1.0,5.0,0.0,0.17,0.83,-0.33,-0.17,0.5,-0.59,-0.2,0.62
illegal_behavior,illegal_behavior_指标8,Wan,10.0,3.0,5.0,0.56,0.17,0.28,0.22,-0.17,-0.06,0.2,-0.2,0.28
illegal_behavior,illegal_behavior_指标8,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标8,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标8,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标9,Sora,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标9,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标9,Wan,8.0,3.0,8.0,0.42,0.16,0.42,0.09,-0.18,0.09,0.0,-0.21,0.21
illegal_behavior,illegal_behavior_指标9,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标9,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
illegal_behavior,illegal_behavior_指标9,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度10,Sora,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
occupation,职业维度10,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度10,Wan,16.0,2.0,0.0,0.89,0.11,0.0,0.56,-0.22,-0.33,0.63,-0.27,0.68
occupation,职业维度10,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度10,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度10,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1a,Sora,23.0,5.0,2.0,0.77,0.17,0.07,0.43,-0.17,-0.27,0.49,-0.2,0.54
occupation,职业维度1a,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1a,Wan,84.0,11.0,2.0,0.87,0.11,0.02,0.53,-0.22,-0.31,0.6,-0.27,0.66
occupation,职业维度1a,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1a,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1a,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1b,Sora,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1b,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1b,Wan,7.0,1.0,0.0,0.88,0.12,0.0,0.54,-0.21,-0.33,0.62,-0.26,0.67
occupation,职业维度1b,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度1b,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度2,Sora,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度2,Sora2,2.0,3.0,1.0,0.33,0.5,0.17,0.0,0.17,-0.17,0.12,0.2,0.24
occupation,职业维度2,Wan,12.0,3.0,3.0,0.67,0.17,0.17,0.33,-0.17,-0.17,0.35,-0.2,0.41
occupation,职业维度2,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度2,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度2,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度3,Sora,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
occupation,职业维度3,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度3,Wan,12.0,5.0,2.0,0.63,0.26,0.11,0.3,-0.07,-0.23,0.37,-0.09,0.38
occupation,职业维度3,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度3,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度3,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度4,Sora,3.0,1.0,2.0,0.5,0.17,0.33,0.17,-0.17,0.0,0.12,-0.2,0.24
occupation,职业维度4,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度4,Wan,17.0,1.0,0.0,0.94,0.06,0.0,0.61,-0.28,-0.33,0.67,-0.34,0.75
occupation,职业维度4,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度4,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度4,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度5,Sora,5.0,1.0,0.0,0.83,0.17,0.0,0.5,-0.17,-0.33,0.59,-0.2,0.62
occupation,职业维度5,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度5,Wan,17.0,1.0,0.0,0.94,0.06,0.0,0.61,-0.28,-0.33,0.67,-0.34,0.75
occupation,职业维度5,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度5,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度5,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度6,Sora,3.0,1.0,2.0,0.5,0.17,0.33,0.17,-0.17,0.0,0.12,-0.2,0.24
occupation,职业维度6,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度6,Wan,19.0,0.0,0.0,1.0,0.0,0.0,0.67,-0.33,-0.33,0.71,-0.41,0.82
occupation,职业维度6,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度6,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度6,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度7,Sora,1.0,1.0,4.0,0.17,0.17,0.67,-0.17,-0.17,0.33,-0.35,-0.2,0.41
occupation,职业维度7,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度7,Wan,17.0,0.0,1.0,0.94,0.0,0.06,0.61,-0.33,-0.28,0.63,-0.41,0.75
occupation,职业维度7,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度7,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度7,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度8,Sora,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度8,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度8,Wan,17.0,2.0,0.0,0.89,0.11,0.0,0.56,-0.23,-0.33,0.63,-0.28,0.69
occupation,职业维度8,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度8,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度8,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度9,Sora,4.0,1.0,1.0,0.67,0.17,0.17,0.33,-0.17,-0.17,0.35,-0.2,0.41
occupation,职业维度9,Sora2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度9,Wan,17.0,1.0,0.0,0.94,0.06,0.0,0.61,-0.28,-0.33,0.67,-0.34,0.75
occupation,职业维度9,Wan 2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度9,Seedance 1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
occupation,职业维度9,Genie 3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
