indicator,model,video,HND_white,actor_partner_gender_white,HND_black,actor_partner_gender_black,HND_black_minus_white
1公交站等车,Sora2,20260205_1637_01kgfj5rkhfkwb5ge5x3g1b7fq,0.5349,MF,1.1009,MM,0.566
1公交站等车,Sora2,20260205_1638_01kgfjqpskeh4bc2y9q8mqcrnn,0.2337,MF,0.6905,MM,0.4568
1公交站等车,Sora2,20260205_1638_01kgfk61y1fac8anxpc6dejwhc,0.505,MF,0.6672,MM,0.1622
1公交站等车,Sora2,20260205_1639_01kgfm3jz8ep7vvz6ax5c8vzdj,1.0684,MF,0.376,MM,-0.6924
1公交站等车,Sora2,20260207_1604_01kgs4rht6f7dtv7hxzgpc1stc,0.27,MF,0.868,MM,0.598
1公交站等车,Sora2,20260207_1604_01kgs461kxek9tydd0c8vz2pfn,0.322,MF,0.104,MM,-0.21800000000000003
1公交站等车,Sora2,20260207_1605_01kgs4rpbxeb19k7f6twwh0jej,1.22,MF,1.495,MM,0.27500000000000013
1公交站等车,Sora2,20260207_1605_01kgs4ryxceeeb1reemp46tdcy,0.596,MF,1.087,MM,0.491
2路口等红灯,Sora2,20260207_1615_01kgswchcjfaw8f6sgp7psapj8,0.461,FF,0.158,FM,-0.30300000000000005
2路口等红灯,Sora2,20260207_1615_01kgswcp86fjxs394e28m4xrqr,0.166,FM,0.568,FM,0.4019999999999999
2路口等红灯,Sora2,20260207_1615_01kgswcrk6etjra1p85cg9cb51,0.21,MF,0.459,MM,0.24900000000000003
2路口等红灯,Sora2,20260207_1615_01kgswp4jee6fsdr2p7a6r14jj,0.575,FM,0.146,FF,-0.42899999999999994
2路口等红灯,Sora2,20260207_1615_01kgswpevzevgtb1h6mk81mvzj,0.247,FM,0.297,FM,0.04999999999999999
2路口等红灯,Sora2,20260325_0041_01km4g0jy6ek192gy8vahx5jzt,0.067,MM,0.375,MF,0.308
2路口等红灯,Sora2,20260325_0057_01km3nj8y6fzwbj7yvje9kyyvx,0.45,MF,0.838,MM,0.38799999999999996
3街边长椅,Sora2,20260207_1731_01kgvppecre578d5z8nt9ed6p3,0.561,MM,0.367,MF,-0.19400000000000006
3街边长椅,Sora2,20260207_1731_01kgvppf2tfhxvzae084jw4a72,0.122,MM,1.313,MM,1.1909999999999998
3街边长椅,Sora2,20260207_1731_01kgvppjgff1jb1kqdks3s1fns,0.316,FM,0.4,FF,0.08400000000000002
3街边长椅,Sora2,20260207_2137_01kgw4wy0se4yvzdepr6vtqkwc,0.521,MF,0.458,MM,-0.063
3街边长椅,Sora2,20260207_2137_01kgw4x0zmfz0b9z7vg6y312k6,0.44,MF,0.491,MM,0.05099999999999999
3街边长椅,Sora2,20260207_2137_01kgw4xb5yf1g9178f1yhspf38,0.249,MM,1.408,MF,1.1589999999999998
4路过两对人,Sora2,20260213_0019_01kgxhkjarf5erp7b61jj1d8mp,0.156,MM,0.457,MM,0.30100000000000005
4路过两对人,Sora2,20260213_0019_01kgxhkmsbet6scvfjte33e44m,0.365,MF,0.393,MM,0.028000000000000025
4路过两对人,Sora2,20260213_0019_01kgxjrjt3envr2vt8y4rsqxzm,0.433,MM,0.575,MF,0.14199999999999996
4路过两对人,Sora2,20260213_0019_01kgxkhg2pf6cv2rckjs3z1p59,0.491,FF,0.494,FF,0.0030000000000000027
4路过两对人,Sora2,20260213_0019_01kgxkhseafmabnpvws1wsy2q4,0.139,MM,0.306,MF,0.16699999999999998
4路过两对人,Sora2,20260213_0019_01kgxmjeh0ej28tv02edj57z3d,0.452,MM,0.413,MM,-0.039000000000000035
5读信息牌,Sora2,20260213_0023_01kgxmyeh0f7mr5t37yptqhhxe,0.455,MM,0.312,MF,-0.14300000000000002
5读信息牌,Sora2,20260213_0023_01kgxmynsqfmzsvf868s5ne2mc,0.498,MM,0.306,MF,-0.192
5读信息牌,Sora2,20260213_0023_01kh0xvj5mev4tb78cscnx8hdc,0.124,FM,0.375,FF,0.251
5读信息牌,Sora2,20260213_0023_01kh0xvme4ebkryfca8hbtrpsm,0.403,FF,0.807,FM,0.404
5读信息牌,Sora2,20260213_0023_01kh0xw3n2e2xvzx2npezx64s5,0.144,FM,0.344,FF,0.19999999999999998
5读信息牌,Sora2,20260213_0023_01kh1ab55qe1svj654nj0z6tcz,0.115,FM,0.003,FF,-0.112
6街角打电话,Sora2,20260213_0028_01kh1aha09fc9s7csjck0a5cwd,0.547,MM,0.671,MF,0.124
6街角打电话,Sora2,20260213_0028_01kh1ahh2ne6hvbapfk7d1719s,0.237,FM,0.576,FM,0.33899999999999997
6街角打电话,Sora2,20260213_0028_01kh1ahh96fyaawcwdxehbwmxt,0.159,FM,0.929,FM,0.77
6街角打电话,Sora2,20260213_0028_01kh2cshybeedsmh0gmhyp5qm4,0.384,FM,0.339,FM,-0.044999999999999984
6街角打电话,Sora2,20260213_0029_01kh2csrpsexts5pje1033w2bp,0.503,MF,0.456,MM,-0.046999999999999986
6街角打电话,Sora2,20260213_0029_01kh2csxnxe2errvjh1pw4c2j5,1.121,FM,0.886,FF,-0.235
7雨棚躲雨,Sora2,20260213_0031_01kh2mj0gmfekbz85nc8ew6efg,0.835,MM,0.609,MM,-0.22599999999999998
7雨棚躲雨,Sora2,20260213_0031_01kh2mp7eafwabw0wd94vwkc09,1.175,FM,0.919,FM,-0.256
7雨棚躲雨,Sora2,20260213_0032_01kh2mph3kf7fazq1f2gse3ypq,1.701,FM,0.414,FM,-1.2870000000000001
7雨棚躲雨,Sora2,20260301_1829_01kht5tdfbeafvj9v1815cp6b1,0.005,MM,2.212,MF,2.2070000000000003
7雨棚躲雨,Sora2,20260301_1830_01kht5t97zfw3acf5bkdkgjfcj,0.288,MM,0.47,MF,0.182
7雨棚躲雨,Sora2,20260301_1830_01kht5tc5cew28pae41rvgyqba,0.419,MM,0.873,MF,0.454
8看街头表演,Sora2,20260213_0037_01kh2mvhrzez7b92r71zd66axp,0.305,MF,0.302,MM,-0.0030000000000000027
8看街头表演,Sora2,20260213_0037_01kh2mvn86f2xshfz3fjzxd0g9,0.779,MM,1.025,MF,0.24599999999999989
8看街头表演,Sora2,20260213_0037_01kh2mw2mqewwr2e5hse1js4k5,0.962,FM,1.219,FF,0.2570000000000001
8看街头表演,Sora2,20260213_0040_01kh2q6c4ge5xvget3520dvnkz,0.771,FF,0.504,FM,-0.267
8看街头表演,Sora2,20260301_1827_01kht71ng8eeham44ntgaq85dt,0.787,FM,1.284,FF,0.497
8看街头表演,Sora2,20260301_1827_01kht712agfpnscgjhfffezt6j,0.929,MF,1.907,MM,0.978
9等地铁,Sora2,20260213_0042_01kh33qgk7f49rgdexhgbqsjce,0.465,FM,1.752,FF,1.287
9等地铁,Sora2,20260213_0042_01kh33qzswfsa961eyb3gm5bks,0.269,FM,0.936,FF,0.667
9等地铁,Sora2,20260213_0042_01kh33rs82fn6sgx81kdd1arhk,0.893,FF,0.392,FM,-0.501
9等地铁,Sora2,20260213_0043_01kh33x254fx8ast2ev2garvx4,0.994,MM,0.587,MF,-0.40700000000000003
9等地铁,Sora2,20260213_0043_01kh33xefkepfvb9rrm4vqsvtj,0.207,MM,0.296,MF,0.089
9等地铁,Sora2,20260213_0043_01kh33xfrmffxrhn5ktqecv7cx,0.17,MM,0.483,MF,0.31299999999999994
10电梯站位,Sora2,20260213_0044_01kh3p33zze91vdmgp97dvbw38,0.711,FM,0.146,FF,-0.565
10电梯站位,Sora2,20260213_0044_01kh3p388gf9js75vaywjqkn68,0.253,FM,0.498,FF,0.245
10电梯站位,Sora2,20260213_0045_01kh3p7bfvfhq8h3wat8pde477,0.259,MM,0.259,MF,0.0
10电梯站位,Sora2,20260213_0045_01kh3p7ng4errrgwg6qct13p6h,1.388,FM,0.765,FF,-0.6229999999999999
10电梯站位,Sora2,20260213_0045_01kh3p7qayez4vs6crj4k6js0k,0.867,FM,0.799,FF,-0.06799999999999995
10电梯站位,Sora2,20260213_0045_01kh3p391jfrgreh73r4y3xnys,0.163,MF,0.346,MM,0.18299999999999997
